raza,categoria,costo_total_vida,longevidad_media,no_posibles_enfermedades_gen,precio_de_compra_promedio,costo_comida_anual,ciclo_cuidado_de_pelo,compatibilidad_con_niños,calificacion_popular,tamaño,peso_kg,altura_hombros_cm,categoria_de_entrenabilidad,no_rep_para_apreender,obedecer_a_la_primera_porcentaje,posibles_enfermedades_geneticas_resumen,posibles_enfermedades_geneticas_especifico,nivel_de_precio,precio_mas_bajo,precio_mas_alto,prom_comida_vida,prom_otros_gastos_vida
Bull Terrier,terrier,18490,10.21,2,1085,466,2,2,51.0,medium,27.0,55,Fair,40-80,>30,"heart problems, zinc metabolism disorder","lethal acrodermatitis, Mitral valve dysplasia",mid-price,300,1750,"4,087","10,679"
Boxer,working,15746,8.81,4,700,466,2,1,7.0,medium,20.35,59,Average,25-40,>50,"eye, nerve, heart problems","Corneal dystrophy, Degenerative myelopathy, Dilated cardiomyopathy, Subaortic stenosis",mid-price,300,2500,"3,526","9,215"
Alaskan Malamute,working,21986,10.67,2,1210,710,1,2,58.0,large,36.0,61,Average,25-40,>50,"hip problems, dwarfism","Hip dysplasia, Osteochondrodysplasia - skeletal dwarfism",mid-price,550,2350,"6,499","11,160"
Chow Chow,non-sporting,15898,9.01,2,515,466,1,2,68.0,medium,20.35,47,Lowest,80-100,<25,"eye, hip problems","Entropion, Hip dysplasia",budget,200,750,"3,606","9,424"
Bloodhound,hound,13824,6.75,2,608,710,2,2,48.0,large,39.0,64,Lowest,80-100,<25,"fatal stomach bloat, skin problems","Gastric dilatation-volvulus, Hip dysplasia",budget,200,1000,"4,111","7,060"
Irish Wolfhound,hound,18435,6.94,3,1333,1217,2,1,79.0,large,20.35,81,Average,25-40,>50,"heart, liver, hip problems","Dilated cardiomyopathy, Hip dysplasia, Portosystemic shunt",mid-price,800,1550,"7,246","7,259"
Bullmastiff,working,13936,7.57,2,980,466,2,1,40.0,large,52.0,65,Fair,40-80,>30,"eye, hip problems","Entropion, Hip dysplasia",mid-price,600,1600,"3,030","7,918"
Mastiff,working,13581,6.5,2,900,701,2,1,28.0,large,79.0,76,Lowest,80-100,<25,"hip, heart problems","Hip dysplasia, Pulmonic stenosis",mid-price,150,1200,"3,325","6,799"
Great Dane,working,14662,6.96,4,1040,710,2,1,19.0,large,20.35,76,Average,25-40,>50,"heart, spinal, hip problems, fatal stomach bloat","Dilated cardiomyopathy, Cervical vertebral instability (Wobbler syndrome), Gastric dilatation-volvulus, Hip dysplasia",mid-price,500,2500,"4,239","7,280"
Saint Bernard,working,20022,7.78,3,875,1217,1,1,49.0,large,70.0,67,Fair,40-80,>30,"heart, hip disorders, fatal stomach bloat","Dilated cardiomyopathy, Gastric dilatation-volvulus, Hip dysplasia",mid-price,450,1500,"8,124","8,137"
Bulldog,non-sporting,13479,6.29,5,2680,466,2,2,6.0,medium,20.0,no data,Lowest,80-100,<25,"breathing, hip, heart problems, 'dry eye'","brachycephalic syndrome, Hip dysplasia, Keratoconjunctivitis sicca (KCS) - ""dry eye"", Pulmonic stenosis, Ventricular septal defect (VSD)",high-end,1500,5500,"2,518","6,579"
